Order ID,Order Date,Region,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-0000032,2021-01-05,West,Technology,Accessories,3,0.0,596.44,139.87
ORD-0000033,2021-01-05,South,Furniture,Bookcases,2,0.0,544.72,143.08
ORD-0000034,2021-01-05,West,Office Supplies,Paper,3,0.15,119.72,7.58
ORD-0000035,2021-01-05,East,Office Supplies,Art,1,0.0,33.55,5.08
ORD-0000036,2021-01-05,West,Furniture,Bookcases,7,0.0,1449.36,139.88
ORD-0000037,2021-01-05,South,Technology,Accessories,6,0.15,2090.12,233.56
ORD-0000038,2021-01-06,East,Office Supplies,Storage,4,0.0,74.19,4.27
ORD-0000039,2021-01-06,South,Technology,Phones,4,0.0,895.91,109.24
ORD-0000040,2021-01-06,East,Furniture,Chairs,5,0.15,1145.47,264.22
ORD-0000041,2021-01-06,West,Office Supplies,Storage,3,0.0,85.82,13.09
ORD-0000042,2021-01-06,East,Furniture,Tables,6,0.15,1020.03,166.69
ORD-0000043,2021-01-06,East,Office Supplies,Storage,4,0.0,131.16,43.91
ORD-0000044,2021-01-06,South,Office Supplies,Paper,2,0.0,48.16,10.2
ORD-0000045,2021-01-06,Central,Office Supplies,Art,7,0.0,316.81,76.98
ORD-0000046,2021-01-06,West,Office Supplies,Binders,4,0.0,158.6,38.93
ORD-0000047,2021-01-07,Central,Office Supplies,Paper,5,0.15,149.22,19.6
ORD-0000048,2021-01-07,South,Furniture,Chairs,5,0.1,1515.5,140.8
ORD-0000049,2021-01-07,Central,Technology,Phones,3,0.3,530.96,122.36
ORD-0000050,2021-01-07,South,Office Supplies,Binders,7,0.0,170.24,27.8
ORD-0000051,2021-01-08,South,Technology,Phones,7,0.0,2298.0,550.49
ORD-0000052,2021-01-08,West,Office Supplies,Binders,4,0.1,149.37,44.88
ORD-0000053,2021-01-08,Central,Furniture,Chairs,2,0.0,726.71,202.35
ORD-0000054,2021-01-08,Central,Furniture,Bookcases,6,0.0,1651.72,279.13
ORD-0000055,2021-01-08,South,Furniture,Chairs,5,0.2,1389.22,326.57
ORD-0000056,2021-01-09,West,Furniture,Furnishings,6,0.1,951.84,240.0
ORD-0000057,2021-01-09,South,Technology,Machines,5,0.0,1384.1,429.87
ORD-0000058,2021-01-09,East,Technology,Copiers,5,0.15,1032.02,128.78
ORD-0000059,2021-01-09,East,Technology,Copiers,5,0.3,1937.43,323.89
ORD-0000060,2021-01-09,Central,Office Supplies,Binders,6,0.3,154.02,6.86
ORD-0000061,2021-01-09,East,Technology,Copiers,6,0.1,2971.11,652.6
ORD-0000062,2021-01-09,West,Furniture,Furnishings,4,0.1,797.93,248.38
ORD-0000063,2021-01-09,Central,Office Supplies,Binders,5,0.2,200.0,11.66
ORD-0000064,2021-01-09,South,Office Supplies,Binders,7,0.0,304.44,100.41
ORD-0000065,2021-01-10,West,Technology,Copiers,7,0.2,2405.47,574.91
ORD-0000066,2021-01-10,West,Furniture,Chairs,3,0.15,544.25,30.95
ORD-0000067,2021-01-11,Central,Office Supplies,Art,7,0.0,259.84,36.98
ORD-0000068,2021-01-11,South,Technology,Accessories,6,0.0,2902.75,261.84
ORD-0000069,2021-01-11,East,Technology,Phones,6,0.1,1456.84,451.22
ORD-0000070,2021-01-11,Central,Office Supplies,Storage,3,0.0,123.01,19.0
ORD-0000071,2021-01-11,West,Technology,Copiers,6,0.1,2391.14,404.16
ORD-0000072,2021-01-11,South,Technology,Copiers,5,0.15,1732.28,227.09
ORD-0000073,2021-01-11,East,Office Supplies,Storage,3,0.0,47.91,4.39
ORD-0000074,2021-01-11,Central,Furniture,Furnishings,1,0.0,377.01,77.13
ORD-0000075,2021-01-11,South,Office Supplies,Storage,3,0.2,91.79,5.63
ORD-0000076,2021-01-11,East,Office Supplies,Paper,6,0.2,264.88,31.58
ORD-0000077,2021-01-11,West,Furniture,Bookcases,1,0.15,257.66,11.12
ORD-0000078,2021-01-11,South,Furniture,Bookcases,5,0.3,1866.71,210.56
ORD-0000079,2021-01-11,West,Office Supplies,Storage,6,0.0,296.36,78.24
ORD-0000080,2021-01-11,South,Office Supplies,Storage,4,0.0,131.28,20.51
ORD-0000081,2021-01-12,West,Furniture,Chairs,4,0.0,455.83,34.68
ORD-0000082,2021-01-12,West,Office Supplies,Art,1,0.0,31.58,4.27
ORD-0000083,2021-01-12,West,Office Supplies,Paper,3,0.2,68.29,8.72
ORD-0000084,2021-01-12,West,Technology,Accessories,6,0.3,2190.23,464.08
ORD-0000085,2021-01-12,East,Furniture,Chairs,4,0.2,4737.68,383.81
ORD-0000086,2021-01-12,Central,Technology,Machines,3,0.0,994.85,300.02
ORD-0000087,2021-01-13,South,Office Supplies,Storage,1,0.0,28.46,9.87
ORD-0000088,2021-01-13,West,Technology,Phones,7,0.0,1042.27,88.6
ORD-0000089,2021-01-13,West,Office Supplies,Storage,6,0.0,180.61,59.87
ORD-0000090,2021-01-13,East,Furniture,Furnishings,6,0.15,2064.38,161.32
ORD-0000091,2021-01-13,Central,Furniture,Tables,3,0.0,823.96,265.61
ORD-0000092,2021-01-13,West,Office Supplies,Paper,7,0.0,219.21,52.0
ORD-0000093,2021-01-13,West,Office Supplies,Binders,1,0.15,24.41,6.68
ORD-0000094,2021-01-13,Central,Furniture,Tables,3,0.0,447.49,41.07
ORD-0000095,2021-01-13,Central,Office Supplies,Art,6,0.0,219.55,57.54
ORD-0000096,2021-01-14,West,Office Supplies,Storage,5,0.15,185.86,18.76
ORD-0000097,2021-01-14,Central,Technology,Machines,3,0.15,1059.22,268.34
ORD-0000098,2021-01-14,South,Office Supplies,Paper,7,0.2,359.95,67.52
ORD-0000099,2021-01-14,South,Furniture,Tables,1,0.1,304.24,60.11
ORD-0000100,2021-01-14,Central,Technology,Copiers,7,0.1,1715.55,250.64
ORD-0000101,2021-01-14,East,Furniture,Tables,1,0.15,244.36,20.7
ORD-0000102,2021-01-14,East,Technology,Phones,7,0.0,2677.4,608.79
ORD-0000103,2021-01-14,West,Furniture,Chairs,2,0.0,373.49,122.09
ORD-0000104,2021-01-15,East,Office Supplies,Binders,7,0.0,143.64,7.75
ORD-0000105,2021-01-15,Central,Furniture,Furnishings,1,0.15,233.19,20.88
ORD-0000106,2021-01-15,East,Office Supplies,Paper,7,0.0,177.23,27.44
ORD-0000107,2021-01-15,West,Office Supplies,Binders,6,0.0,225.91,42.02
ORD-0000108,2021-01-15,West,Office Supplies,Paper,6,0.3,271.24,15.36
ORD-0000109,2021-01-15,West,Furniture,Bookcases,2,0.3,604.15,145.34
ORD-0000110,2021-01-15,South,Technology,Copiers,1,0.0,213.88,25.52
ORD-0000111,2021-01-15,Central,Furniture,Tables,1,0.3,217.22,40.48
ORD-0000112,2021-01-16,Central,Technology,Phones,3,0.0,1077.45,242.33
ORD-0000113,2021-01-16,West,Technology,Machines,5,0.3,1103.4,46.55
ORD-0000114,2021-01-16,South,Office Supplies,Art,6,0.15,167.14,19.65
ORD-0000115,2021-01-16,South,Technology,Copiers,1,0.0,316.99,61.95
ORD-0000116,2021-01-16,West,Technology,Accessories,5,0.0,2041.32,187.41
ORD-0000117,2021-01-16,South,Technology,Accessories,5,0.15,5299.15,1326.58
ORD-0000118,2021-01-16,West,Furniture,Chairs,1,0.1,201.36,20.28
ORD-0000119,2021-01-16,East,Furniture,Chairs,7,0.0,1862.01,369.2
ORD-0000120,2021-01-16,West,Technology,Phones,4,0.2,1594.46,81.75
ORD-0000121,2021-01-17,West,Office Supplies,Art,4,0.0,105.84,17.89
ORD-0000122,2021-01-17,South,Furniture,Furnishings,1,0.3,315.85,28.45
ORD-0000123,2021-01-17,Central,Furniture,Tables,3,0.15,433.21,56.45
ORD-0000124,2021-01-17,West,Office Supplies,Binders,3,0.0,130.91,16.22
ORD-0000125,2021-01-18,South,Office Supplies,Storage,4,0.15,177.26,41.84
ORD-0000126,2021-01-18,Central,Office Supplies,Art,1,0.1,36.05,3.78
ORD-0000127,2021-01-18,South,Technology,Machines,2,0.3,439.84,79.81
ORD-0000128,2021-01-18,East,Technology,Accessories,3,0.0,1585.43,433.65
ORD-0000129,2021-01-18,East,Office Supplies,Storage,2,0.1,93.59,7.26
ORD-0000130,2021-01-18,East,Office Supplies,Art,2,0.1,92.7,18.5
ORD-0000131,2021-01-18,South,Office Supplies,Paper,1,0.1,36.27,3.91
ORD-0000132,2021-01-18,East,Technology,Accessories,3,0.15,1371.26,192.54
ORD-0000133,2021-01-19,East,Furniture,Furnishings,1,0.2,149.66,20.99
ORD-0000134,2021-01-19,West,Technology,Accessories,1,0.2,365.43,40.67
ORD-0000135,2021-01-19,South,Technology,Phones,1,0.3,356.81,41.29
ORD-0000136,2021-01-20,South,Furniture,Furnishings,5,0.15,1171.96,298.05
ORD-0000137,2021-01-20,East,Furniture,Chairs,2,0.3,558.57,123.22
ORD-0000138,2021-01-20,South,Technology,Phones,3,0.0,1081.97,213.53
ORD-0000139,2021-01-20,South,Technology,Machines,6,0.1,2581.57,520.5
ORD-0000140,2021-01-20,East,Technology,Machines,3,0.0,1124.06,71.17
ORD-0000141,2021-01-20,South,Furniture,Bookcases,1,0.3,196.84,7.1
ORD-0000142,2021-01-20,Central,Furniture,Tables,6,0.15,1539.28,416.52
ORD-0000143,2021-01-20,South,Furniture,Chairs,6,0.0,1952.11,416.06
ORD-0000144,2021-01-20,South,Technology,Copiers,3,0.1,1042.35,286.29
ORD-0000145,2021-01-20,South,Technology,Machines,5,0.2,2026.67,173.1
ORD-0000146,2021-01-21,East,Office Supplies,Binders,5,0.0,226.16,30.78
ORD-0000147,2021-01-21,Central,Technology,Phones,7,0.3,2116.13,314.6
ORD-0000148,2021-01-21,South,Office Supplies,Art,7,0.15,256.62,62.52
ORD-0000149,2021-01-21,East,Technology,Copiers,3,0.2,1077.7,132.57
ORD-0000150,2021-01-21,Central,Furniture,Tables,6,0.15,1273.58,198.96
ORD-0000151,2021-01-21,Central,Office Supplies,Art,7,0.3,314.62,40.47
ORD-0000152,2021-01-21,East,Technology,Phones,3,0.3,850.33,123.87
ORD-0000153,2021-01-22,Central,Technology,Phones,3,0.2,516.77,49.19
ORD-0000154,2021-01-22,East,Furniture,Chairs,4,0.1,858.33,148.29
ORD-0000155,2021-01-22,South,Furniture,Chairs,5,0.1,1471.16,73.3
ORD-0000156,2021-01-22,Central,Office Supplies,Art,4,0.1,165.29,42.99
ORD-0000157,2021-01-22,West,Furniture,Chairs,6,0.0,1246.35,122.45
ORD-0000158,2021-01-22,Central,Office Supplies,Paper,3,0.0,152.27,8.14
ORD-0000159,2021-01-22,East,Office Supplies,Paper,7,0.0,147.99,49.69
ORD-0000160,2021-01-22,South,Technology,Machines,1,0.0,380.83,84.27
ORD-0000161,2021-01-23,West,Technology,Accessories,4,0.2,1300.0,62.36
ORD-0000162,2021-01-23,East,Office Supplies,Paper,6,0.2,169.03,34.88
ORD-0000163,2021-01-24,South,Office Supplies,Binders,7,0.0,151.06,35.89
ORD-0000164,2021-01-24,Central,Office Supplies,Storage,7,0.1,297.74,61.43
ORD-0000165,2021-01-24,Central,Office Supplies,Storage,1,0.1,33.06,3.69
ORD-0000166,2021-01-24,East,Technology,Accessories,3,0.1,668.52,164.42
ORD-0000167,2021-01-25,Central,Office Supplies,Art,1,0.15,27.62,1.68
ORD-0000168,2021-01-25,East,Office Supplies,Art,1,0.3,34.88,4.27
ORD-0000169,2021-01-25,South,Office Supplies,Art,4,0.0,141.0,31.53
ORD-0000170,2021-01-25,West,Technology,Copiers,4,0.0,1785.67,514.07
ORD-0000171,2021-01-26,West,Office Supplies,Binders,5,0.15,170.3,26.58
ORD-0000172,2021-01-26,West,Office Supplies,Paper,7,0.0,199.92,28.72
ORD-0000173,2021-01-26,West,Technology,Phones,7,0.3,3201.39,417.13
ORD-0000174,2021-01-26,East,Furniture,Tables,2,0.1,692.2,186.06
ORD-0000175,2021-01-26,West,Furniture,Bookcases,4,0.0,790.4,183.11
ORD-0000176,2021-01-26,West,Office Supplies,Binders,1,0.1,39.56,11.01
ORD-0000177,2021-01-26,West,Office Supplies,Art,2,0.0,48.35,7.0
ORD-0000178,2021-01-26,West,Furniture,Tables,4,0.0,1157.31,59.58
ORD-0000179,2021-01-26,South,Office Supplies,Binders,7,0.1,306.13,57.77
ORD-0000180,2021-01-26,East,Furniture,Furnishings,2,0.3,137.97,9.53
ORD-0000181,2021-01-26,East,Technology,Phones,6,0.3,1828.47,439.77
ORD-0000182,2021-01-27,Central,Technology,Phones,3,0.2,1012.18,136.17
ORD-0000183,2021-01-27,Central,Furniture,Furnishings,2,0.0,491.98,37.95
ORD-0000184,2021-01-27,East,Furniture,Tables,5,0.1,1352.74,304.7
ORD-0000185,2021-01-27,South,Technology,Phones,7,0.2,2962.26,579.95
ORD-0000186,2021-01-27,West,Office Supplies,Paper,7,0.0,228.99,38.14
ORD-0000187,2021-01-27,West,Furniture,Chairs,3,0.2,1057.88,169.37
ORD-0000188,2021-01-28,West,Technology,Copiers,3,0.15,1202.36,111.13
ORD-0000189,2021-01-28,East,Office Supplies,Art,7,0.15,251.38,41.4
ORD-0000190,2021-01-28,East,Furniture,Furnishings,5,0.0,1230.44,404.67
ORD-0000191,2021-01-28,West,Office Supplies,Paper,4,0.0,114.91,9.95
ORD-0000192,2021-01-28,East,Office Supplies,Paper,7,0.3,340.47,33.03
ORD-0000193,2021-01-28,Central,Furniture,Furnishings,4,0.1,794.34,45.06
ORD-0000194,2021-01-28,Central,Technology,Machines,6,0.2,1847.84,337.14
ORD-0000195,2021-01-28,Central,Office Supplies,Art,2,0.0,82.95,10.04
ORD-0000196,2021-01-28,Central,Office Supplies,Storage,4,0.0,131.12,38.4
ORD-0000197,2021-01-28,Central,Furniture,Bookcases,2,0.0,444.11,51.08
ORD-0000198,2021-01-29,West,Office Supplies,Paper,1,0.0,29.87,6.84
ORD-0000199,2021-01-29,Central,Office Supplies,Binders,7,0.2,308.86,55.23
ORD-0000200,2021-01-29,East,Furniture,Furnishings,5,0.0,1087.55,185.27
ORD-0000201,2021-01-29,West,Office Supplies,Storage,4,0.1,183.35,19.82
ORD-0000202,2021-01-29,West,Technology,Accessories,3,0.15,908.42,144.44
ORD-0000203,2021-01-30,South,Office Supplies,Art,6,0.3,239.31,46.31
ORD-0000204,2021-01-30,East,Office Supplies,Paper,1,0.1,35.67,4.95
ORD-0000205,2021-01-30,Central,Technology,Copiers,6,0.15,1663.72,383.46
ORD-0000206,2021-01-31,Central,Technology,Phones,4,0.0,829.71,57.19
ORD-0000207,2021-01-31,East,Furniture,Chairs,2,0.0,307.94,43.62
ORD-0000208,2021-01-31,West,Office Supplies,Art,2,0.0,49.16,14.06
ORD-0000209,2021-01-31,West,Office Supplies,Art,2,0.15,25.99,3.63
ORD-0000210,2021-02-01,South,Office Supplies,Binders,2,0.2,70.49,8.13
ORD-0000211,2021-02-01,Central,Furniture,Furnishings,6,0.2,1306.4,98.15
ORD-0000212,2021-02-01,West,Furniture,Tables,4,0.1,1232.94,82.1
ORD-0000213,2021-02-01,Central,Furniture,Furnishings,5,0.0,3005.85,736.61
ORD-0000214,2021-02-01,East,Furniture,Bookcases,2,0.0,442.63,86.48
ORD-0000215,2021-02-01,Central,Office Supplies,Storage,1,0.1,24.23,3.07
ORD-0000216,2021-02-01,East,Office Supplies,Art,1,0.3,32.72,2.72
ORD-0000217,2021-02-01,East,Furniture,Chairs,4,0.15,1237.63,332.41
ORD-0000218,2021-02-01,West,Furniture,Bookcases,3,0.2,829.75,68.42
ORD-0000219,2021-02-02,West,Technology,Phones,5,0.0,1551.06,288.98
ORD-0000220,2021-02-02,South,Furniture,Tables,6,0.1,1336.82,148.04
ORD-0000221,2021-02-02,Central,Technology,Phones,4,0.0,1181.73,397.77
ORD-0000222,2021-02-02,Central,Office Supplies,Binders,2,0.15,87.96,10.0
ORD-0000223,2021-02-02,South,Office Supplies,Art,5,0.2,174.2,33.59
ORD-0000224,2021-02-02,Central,Furniture,Furnishings,5,0.1,1659.93,304.27
ORD-0000225,2021-02-02,Central,Furniture,Chairs,7,0.0,1590.17,535.81
ORD-0000226,2021-02-02,Central,Office Supplies,Paper,4,0.3,146.46,34.11
ORD-0000227,2021-02-02,Central,Office Supplies,Paper,5,0.0,229.91,12.94
ORD-0000228,2021-02-03,Central,Technology,Phones,1,0.2,335.07,85.44
ORD-0000229,2021-02-03,West,Furniture,Bookcases,2,0.1,681.95,59.53
ORD-0000230,2021-02-03,East,Furniture,Tables,7,0.0,2537.18,545.56
ORD-0000231,2021-02-03,West,Furniture,Furnishings,6,0.0,1578.96,384.86
ORD-0000232,2021-02-03,East,Technology,Machines,7,0.0,2527.0,538.77
ORD-0000233,2021-02-03,Central,Furniture,Tables,6,0.0,1833.22,267.68
ORD-0000234,2021-02-03,Central,Office Supplies,Art,5,,207.13,18.54
ORD-0000235,2021-02-04,West,Furniture,Chairs,4,0.0,947.74,135.79
ORD-0000236,2021-02-04,Central,Technology,Machines,3,0.15,755.88,135.96
ORD-0000237,2021-02-04,West,Technology,Accessories,6,0.0,2316.96,701.09
ORD-0000238,2021-02-04,West,Office Supplies,Paper,4,0.1,167.92,40.29
ORD-0000239,2021-02-04,South,Office Supplies,Binders,6,0.1,966.11,90.77
ORD-0000240,2021-02-04,West,Office Supplies,Storage,4,0.0,113.72,7.9
ORD-0000241,2021-02-04,West,Office Supplies,Art,6,,341.9,91.55
ORD-0000242,2021-02-04,West,Furniture,Tables,5,0.0,1144.11,300.1
ORD-0000243,2021-02-04,Central,Office Supplies,Art,5,0.0,156.11,25.2
ORD-0000244,2021-02-04,East,Technology,Machines,3,0.2,747.35,145.15
ORD-0000245,2021-02-04,West,Office Supplies,Art,7,0.0,231.13,62.87
ORD-0000246,2021-02-04,South,Furniture,Furnishings,5,0.0,950.18,54.98
ORD-0000247,2021-02-04,East,Technology,Phones,6,0.0,1009.94,308.86
ORD-0000248,2021-02-04,East,Office Supplies,Art,5,0.15,182.45,29.07
ORD-0000249,2021-02-04,West,Furniture,Furnishings,6,0.0,1489.68,77.63
ORD-0000250,2021-02-05,East,Office Supplies,Paper,6,0.3,303.04,26.32
ORD-0000251,2021-02-05,South,Furniture,Furnishings,6,0.0,1935.08,379.8
ORD-0000252,2021-02-05,East,Furniture,Tables,3,0.1,705.13,91.74
ORD-0000253,2021-02-05,Central,Furniture,Bookcases,2,,543.91,63.98
ORD-0000254,2021-02-05,South,Technology,Accessories,1,0.15,455.19,49.12
ORD-0000255,2021-02-06,East,Furniture,Tables,1,0.15,262.54,26.38
ORD-0000256,2021-02-06,West,Office Supplies,Storage,6,0.0,270.3,20.14
ORD-0000257,2021-02-06,West,Office Supplies,Binders,5,0.15,155.38,36.29
ORD-0000258,2021-02-06,East,Technology,Accessories,4,0.0,1923.2,126.14
ORD-0000259,2021-02-06,Central,Furniture,Bookcases,5,0.2,1099.14,48.7
ORD-0000260,2021-02-06,East,Office Supplies,Art,4,0.15,106.63,16.8
ORD-0000261,2021-02-06,South,Technology,Machines,2,0.0,630.23,105.39
ORD-0000262,2021-02-07,East,Furniture,Furnishings,4,0.1,816.04,97.63
ORD-0000263,2021-02-07,West,Office Supplies,Storage,6,0.1,146.0,13.11
ORD-0000264,2021-02-07,Central,Office Supplies,Storage,2,0.2,72.06,5.32
ORD-0000265,2021-02-07,East,Furniture,Chairs,4,0.2,862.33,51.77
ORD-0000266,2021-02-07,South,Technology,Accessories,7,0.3,2768.8,379.12
ORD-0000267,2021-02-08,East,Technology,Accessories,6,0.0,2060.83,609.43
ORD-0000268,2021-02-08,West,Technology,Copiers,1,0.3,314.0,53.96
ORD-0000269,2021-02-08,West,Office Supplies,Paper,3,0.1,106.83,28.63
ORD-0000270,2021-02-08,East,Furniture,Furnishings,2,0.3,630.25,47.37
ORD-0000271,2021-02-08,Central,Office Supplies,Art,6,0.0,251.77,60.49
ORD-0000272,2021-02-08,East,Office Supplies,Paper,3,0.1,121.24,27.77
ORD-0000273,2021-02-08,East,Office Supplies,Binders,7,0.0,298.37,34.21
ORD-0000274,2021-02-08,West,Furniture,Chairs,5,0.1,829.38,247.44
ORD-0000275,2021-02-09,South,Furniture,Furnishings,1,0.0,236.13,80.72
ORD-0000276,2021-02-09,South,Office Supplies,Art,4,0.2,154.76,33.18
ORD-0000277,2021-02-09,West,Technology,Copiers,3,0.2,1048.15,53.53
ORD-0000278,2021-02-09,West,Office Supplies,Paper,3,0.0,153.25,21.45
ORD-0000279,2021-02-09,Central,Furniture,Furnishings,4,0.0,1107.08,383.83
ORD-0000280,2021-02-09,Central,Office Supplies,Paper,1,0.1,42.87,8.67
ORD-0000281,2021-02-09,South,Technology,Machines,5,0.15,1229.06,62.47
ORD-0000282,2021-02-09,South,Furniture,Furnishings,1,0.3,264.9,33.22
ORD-0000283,2021-02-09,West,Office Supplies,Storage,7,0.15,299.26,60.89
ORD-0000284,2021-02-09,Central,Technology,Copiers,7,0.1,2368.81,256.38
ORD-0000285,2021-02-09,Central,Technology,Copiers,2,0.3,606.78,73.1
ORD-0000286,2021-02-09,South,Furniture,Chairs,4,0.0,562.51,51.75
ORD-0000287,2021-02-09,East,Technology,Phones,5,0.15,1037.47,169.57
ORD-0000288,2021-02-10,West,Furniture,Chairs,1,0.0,244.81,57.56
ORD-0000289,2021-02-10,East,Office Supplies,Storage,7,0.0,243.86,45.16
ORD-0000290,2021-02-10,South,Furniture,Furnishings,4,0.15,1269.04,285.0
ORD-0000291,2021-02-10,Central,Office Supplies,Binders,2,0.0,72.54,18.1
ORD-0000292,2021-02-10,South,Office Supplies,Binders,3,0.1,88.86,25.6
ORD-0000293,2021-02-10,West,Office Supplies,Binders,7,0.0,354.15,80.78
ORD-0000294,2021-02-10,East,Office Supplies,Paper,1,0.1,25.68,2.35
ORD-0000295,2021-02-10,Central,Technology,Phones,6,0.0,2188.21,428.45
ORD-0000296,2021-02-10,West,Furniture,Chairs,6,0.3,1844.08,245.24
ORD-0000297,2021-02-11,Central,Furniture,Furnishings,3,0.3,1160.78,118.36
ORD-0000298,2021-02-11,Central,Office Supplies,Binders,6,0.0,137.63,28.59
ORD-0000299,2021-02-11,West,Furniture,Bookcases,4,0.0,961.38,231.76
ORD-0000300,2021-02-11,West,Furniture,Tables,3,0.2,830.73,202.13
ORD-0000301,2021-02-11,West,Technology,Copiers,4,0.0,979.78,191.72
ORD-0000302,2021-02-11,East,Office Supplies,Storage,5,0.0,181.21,20.41
ORD-0000303,2021-02-11,South,Office Supplies,Storage,2,0.0,55.33,17.71
ORD-0000304,2021-02-12,West,Furniture,Chairs,5,0.2,1111.37,110.31
ORD-0000305,2021-02-12,South,Office Supplies,Paper,5,0.3,119.81,17.9
ORD-0000306,2021-02-12,East,Office Supplies,Binders,3,0.0,82.29,16.18
ORD-0000307,2021-02-12,West,Technology,Copiers,2,0.15,816.15,186.78
ORD-0000308,2021-02-12,East,Technology,Phones,4,0.3,1906.67,452.73
ORD-0000309,2021-02-12,South,Technology,Phones,7,0.1,2037.41,348.46
ORD-0000310,2021-02-12,East,Technology,Machines,3,0.1,1027.23,180.3
ORD-0000311,2021-02-12,South,Office Supplies,Paper,4,0.3,108.3,17.57
ORD-0000312,2021-02-12,South,Office Supplies,Binders,3,0.0,87.84,15.13
ORD-0000313,2021-02-12,South,Technology,Copiers,7,0.0,2892.85,415.33
ORD-0000314,2021-02-12,East,Furniture,Bookcases,6,0.3,1423.33,55.53
ORD-0000315,2021-02-13,South,Office Supplies,Art,6,0.0,632.17,151.64
ORD-0000316,2021-02-13,East,Furniture,Furnishings,5,0.0,1517.69,424.7
ORD-0000317,2021-02-13,South,Office Supplies,Art,7,0.2,194.76,8.94
ORD-0000318,2021-02-13,West,Office Supplies,Paper,4,0.0,139.16,7.21
ORD-0000319,2021-02-13,East,Technology,Accessories,1,0.1,436.4,36.75
ORD-0000320,2021-02-13,Central,Office Supplies,Storage,4,0.0,140.11,40.78
ORD-0000321,2021-02-14,Central,Furniture,Chairs,7,0.2,428.96,24.55
ORD-0000322,2021-02-14,Central,Furniture,Furnishings,6,0.3,1568.94,236.95
ORD-0000323,2021-02-14,West,Furniture,Bookcases,2,0.0,359.62,95.84
ORD-0000324,2021-02-14,East,Office Supplies,Binders,7,0.15,225.14,12.26
ORD-0000325,2021-02-14,East,Technology,Machines,2,0.15,308.25,86.27
ORD-0000326,2021-02-14,South,Furniture,Chairs,3,0.1,669.55,172.75
ORD-0000327,2021-02-14,South,Office Supplies,Binders,6,0.0,230.5,14.45
ORD-0000328,2021-02-14,West,Technology,Phones,7,0.15,5093.04,1353.5
ORD-0000329,2021-02-14,East,Office Supplies,Storage,1,0.1,38.48,9.85
ORD-0000330,2021-02-15,West,Office Supplies,Art,7,0.0,254.66,54.91
ORD-0000331,2021-02-15,West,Technology,Phones,1,0.1,351.4,80.12
ORD-0000332,2021-02-15,Central,Office Supplies,Art,7,0.0,283.56,41.03
ORD-0000333,2021-02-15,Central,Office Supplies,Art,6,0.0,220.1,55.04
ORD-0000334,2021-02-15,South,Technology,Phones,4,0.0,1232.57,67.06
ORD-0000335,2021-02-15,West,Office Supplies,Paper,1,0.3,33.0,3.44
